time_ns,found_result,
612447764,true,CHA_CHA_8
769762969,true,CHA_CHA_8
714142930,true,CHA_CHA_8
661172466,true,CHA_CHA_8
586924594,true,CHA_CHA_8
713916030,true,CHA_CHA_20
849069409,true,CHA_CHA_20
566356565,true,CHA_CHA_20
585669387,true,CHA_CHA_20
706841704,true,CHA_CHA_20
885985496,true,CHA_CHA_20
678596021,true,CHA_CHA_20
605039479,true,CHA_CHA_20
744986138,true,CHA_CHA_20
907642592,true,CHA_CHA_20
601873185,true,CHA_CHA_20
629386520,true,CHA_CHA_20
797962892,true,CHA_CHA_20
964306569,true,CHA_CHA_20
712522143,true,CHA_CHA_20
636095816,true,CHA_CHA_20
827148823,true,CHA_CHA_20
1107695721,true,CHA_CHA_20
691778834,true,CHA_CHA_20
637303304,true,CHA_CHA_20
